supplier_id,supplier_name,risk_score,latitude,longitude,region,tier,annual_spend_usd,last_audit_date
SUP-000101,Supplier 101,0.9,63.92,19.03,NA,3,1908108,2024-10-26
SUP-000102,Supplier 102,0.7,-34.6,-108.8,APAC,4,2527337,2026-01-13
SUP-000103,Supplier 103,0.27,64.72,124.1,NA,1,2959811,
SUP-000104,Supplier 104,0.96,38.91,120.66,LATAM,1,709539,2024-02-27
SUP-000105,Supplier 105,0.77,23.32,-25.33,APAC,1,1065807,2024-10-11
SUP-000106,Supplier 106,0.71,27.88,168.03,EMEA,4,456285,2026-07-02
SUP-000107,Supplier 107,0.45,-16.91,172.72,LATAM,1,998139,2026-03-03
SUP-000108,Supplier 108,0.28,24.04,-133.47,EMEA,1,2199905,2026-05-25
SUP-000109,Supplier 109,0.1,-35.73,-47.62,NA,1,4688725,2026-03-26
SUP-000110,Supplier 110,0.89,61.9,36.12,EMEA,4,4615194,2024-04-21
SUP-000111,Supplier 111,0.46,-20.77,-149.46,NA,3,3816628,2025-01-13
SUP-000112,Supplier 112,0.21,-26.83,-42.24,EMEA,4,2793318,2025-05-14
SUP-000113,Supplier 113,0.31,32.45,-85.98,LATAM,1,1020599,2024-06-06
SUP-000114,Supplier 114,0.58,25.34,162.74,LATAM,2,1797518,
SUP-000115,Supplier 115,0.18,-1.33,-31.83,APAC,3,3833734,2025-07-23
SUP-000116,Supplier 116,0.85,22.22,94.56,EMEA,1,4544443,2026-03-15
SUP-000117,Supplier 117,0.75,-39.27,-40.79,APAC,4,4812893,2024-09-01
SUP-000118,Supplier 118,0.72,27.53,-132.55,APAC,4,1949274,2025-11-06
SUP-000119,Supplier 119,0.43,-24.82,130.73,NA,1,2438280,2024-04-09
SUP-000120,Supplier 120,0.62,-24.53,-179.85,EMEA,4,2550640,2024-01-22
SUP-000121,Supplier 121,0.58,-38.92,-159.86,EMEA,2,290680,2025-08-27
SUP-000122,Supplier 122,0.65,-16.79,-48.82,EMEA,2,591331,2024-03-05
SUP-000123,Supplier 123,0.09,-16.94,67.28,LATAM,4,235648,2024-09-17
SUP-000124,Supplier 124,0.42,-0.96,-56.99,EMEA,3,3689630,2026-01-19
SUP-000125,Supplier 125,0.05,-35.25,-156.13,NA,1,1129498,2025-04-14
SUP-000126,Supplier 126,0.49,-34.91,-65.58,NA,4,3504511,2024-12-21
SUP-000127,Supplier 127,0.33,10.43,-91.81,APAC,3,1882627,2024-10-01
SUP-000128,Supplier 128,0.15,-43.25,-178.05,EMEA,1,3973277,2025-09-22
SUP-000129,Supplier 129,0.11,29.56,12.53,NA,3,586493,2026-06-19
SUP-000130,Supplier 130,0.59,62.71,-138.01,APAC,3,1632704,2025-11-28
SUP-000131,Supplier 131,0.18,-4.52,-76.5,NA,2,1032042,2024-12-04
SUP-000132,Supplier 132,0.92,57.14,50.83,LATAM,2,2185905,2025-02-02
SUP-000133,Supplier 133,0.58,-47.22,81.04,NA,4,2814296,2024-04-07
SUP-000134,Supplier 134,0.35,-54.42,-85.16,NA,1,850025,2024-05-15
SUP-000135,Supplier 135,0.59,33.78,-61.49,NA,3,3338315,2024-09-10
SUP-000136,Supplier 136,0.03,38.93,-91.11,LATAM,4,4822879,2024-12-31
SUP-000137,Supplier 137,0.95,49.6,164.48,LATAM,4,225999,2026-07-23
SUP-000138,Supplier 138,0.48,-52.61,-111.41,LATAM,2,439525,2026-04-02
SUP-000139,Supplier 139,0.78,41.0,-114.05,APAC,2,4761548,2024-04-16
SUP-000140,Supplier 140,0.09,-11.05,-19.79,NA,4,3248576,2024-11-08
SUP-000141,Supplier 141,0.49,-20.57,-111.85,LATAM,2,4599019,2024-02-23
SUP-000142,Supplier 142,0.49,-37.51,-123.58,APAC,3,3529234,
SUP-000143,Supplier 143,0.93,69.48,-145.48,APAC,3,3589443,2024-12-19
SUP-000144,Supplier 144,0.57,-51.72,50.46,NA,3,797105,2026-06-24
SUP-000145,Supplier 145,0.47,47.51,40.35,LATAM,3,2564033,2024-06-23
SUP-000146,Supplier 146,0.27,23.13,54.06,LATAM,2,1832962,2025-10-04
SUP-000147,Supplier 147,0.33,35.56,98.39,APAC,2,4169796,2025-01-05
SUP-000148,Supplier 148,0.52,32.52,-62.51,LATAM,2,225201,2025-05-25
SUP-000149,Supplier 149,0.44,51.6,150.63,APAC,3,100654,2026-03-31
SUP-000150,Supplier 150,0.03,-36.11,83.95,LATAM,4,2787475,
SUP-000151,Supplier 151,0.82,-59.89,109.7,LATAM,3,4852511,2026-02-20
SUP-000152,Supplier 152,0.89,17.81,79.55,APAC,3,4974741,2025-01-23
SUP-000153,Supplier 153,0.15,-14.0,-50.96,NA,2,2971787,2024-02-15
SUP-000154,Supplier 154,0.55,-43.91,-78.11,EMEA,4,2155125,2026-07-18
SUP-000155,Supplier 155,0.12,-35.8,-27.89,NA,2,1371886,2026-07-27
SUP-000156,Supplier 156,0.67,-16.87,-145.07,LATAM,2,4950141,2026-03-20
SUP-000157,Supplier 157,0.29,-50.87,-17.54,LATAM,1,924338,2025-03-26
SUP-000158,Supplier 158,0.66,-52.6,-164.47,APAC,2,639864,2024-09-21
SUP-000159,Supplier 159,0.72,59.08,-178.58,EMEA,3,2546619,2024-06-13
SUP-000160,Supplier 160,0.76,-19.43,155.34,NA,1,1968347,2024-12-16
SUP-000161,Supplier 161,0.12,67.69,68.16,EMEA,1,2484075,2024-11-11
SUP-000162,Supplier 162,0.91,65.37,22.26,NA,4,4510805,2024-09-17
SUP-000163,Supplier 163,0.24,-41.47,-57.2,LATAM,4,1356356,2026-06-16
SUP-000164,Supplier 164,0.05,32.94,25.39,NA,2,4384710,2025-09-14
SUP-000165,Supplier 165,0.55,18.1,140.97,EMEA,2,1066687,2024-07-29
SUP-000166,Supplier 166,0.37,29.78,54.86,APAC,3,1624721,2025-08-26
SUP-000167,Supplier 167,0.82,-47.5,36.89,EMEA,4,32220,2025-10-27
SUP-000168,Supplier 168,0.8,-35.49,-14.33,APAC,2,3396266,2025-05-08
SUP-000169,Supplier 169,0.32,-50.04,-55.55,EMEA,1,4293719,2026-06-12
SUP-000170,Supplier 170,0.94,18.54,71.48,APAC,2,4431939,2026-06-30
SUP-000171,Supplier 171,0.3,68.26,173.15,APAC,2,845625,2025-02-11
SUP-000172,Supplier 172,0.51,27.36,-27.09,APAC,3,3836718,2025-03-21
SUP-000173,Supplier 173,0.26,32.4,-38.81,LATAM,1,715268,2024-07-23
SUP-000174,Supplier 174,0.93,68.0,-25.88,NA,3,3146096,2026-01-09
SUP-000175,Supplier 175,0.17,28.14,-26.8,LATAM,1,3514968,2026-05-28
SUP-000176,Supplier 176,0.05,-54.78,176.62,EMEA,4,771352,2025-09-13
SUP-000177,Supplier 177,0.44,52.71,74.44,APAC,3,561458,
SUP-000178,Supplier 178,0.98,-12.59,-50.69,LATAM,1,374283,2025-05-04
SUP-000179,Supplier 179,0.88,-59.43,-46.26,LATAM,4,3544720,2026-01-20
SUP-000180,Supplier 180,0.74,5.94,-24.91,NA,3,3076964,2024-02-09
SUP-000181,Supplier 181,0.88,61.81,-166.78,EMEA,3,605549,2025-07-11
SUP-000182,Supplier 182,0.89,-26.55,10.01,LATAM,1,2506375,2025-09-12
SUP-000183,Supplier 183,0.52,3.9,112.1,APAC,1,3981071,2025-05-21
SUP-000184,Supplier 184,0.32,-37.41,57.8,LATAM,4,1197802,2025-08-29
SUP-000185,Supplier 185,0.77,-52.5,-108.57,NA,2,3032128,2026-04-25
SUP-000186,Supplier 186,0.66,-49.53,82.09,APAC,3,1470921,
SUP-000187,Supplier 187,0.38,34.51,79.01,EMEA,4,1312457,2025-06-22
SUP-000188,Supplier 188,0.1,52.33,-85.49,APAC,2,1966515,2026-01-21
SUP-000189,Supplier 189,0.74,-41.37,44.23,APAC,2,1767549,2026-02-14
SUP-000190,Supplier 190,0.27,-22.52,39.94,APAC,4,2482649,2025-03-16
SUP-000191,Supplier 191,0.93,-34.65,122.32,EMEA,1,1034980,2026-07-30
SUP-000192,Supplier 192,0.25,-56.51,-131.01,LATAM,2,1957392,2024-11-01
SUP-000193,Supplier 193,0.13,11.95,-109.86,EMEA,4,3115690,2025-02-19
SUP-000194,Supplier 194,0.82,30.99,-5.05,NA,1,1942585,2026-02-16
SUP-000195,Supplier 195,0.16,24.22,-164.11,APAC,2,3285436,2025-02-18
SUP-000196,Supplier 196,0.19,-9.55,-30.39,NA,2,587506,2024-11-20
SUP-000197,Supplier 197,0.6,12.15,103.76,APAC,1,696927,2025-06-08
SUP-000198,Supplier 198,0.87,-47.77,-126.46,LATAM,1,4329296,2025-08-10
SUP-000199,Supplier 199,0.2,-39.94,-14.42,NA,2,2314504,2026-07-04
SUP-000200,Supplier 200,0.31,61.13,176.32,EMEA,4,3049678,2025-08-06
SUP-000201,Supplier 201,0.77,39.0,2.13,NA,1,3701580,2024-06-23
SUP-000202,Supplier 202,0.96,59.96,-0.6,NA,3,739049,2024-02-19
SUP-000203,Supplier 203,0.5,59.17,21.17,EMEA,2,4861590,2026-07-02
SUP-000204,Supplier 204,0.15,24.42,-113.04,LATAM,4,2125133,2025-02-03
SUP-000205,Supplier 205,0.02,60.67,-127.02,APAC,2,4449658,2024-07-09
SUP-000206,Supplier 206,0.24,-5.83,63.85,NA,4,2089412,2024-07-29
SUP-000207,Supplier 207,0.14,-59.53,-37.52,NA,2,2033806,2024-04-10
SUP-000208,Supplier 208,0.67,-51.87,-75.63,LATAM,4,3007098,2024-07-07
SUP-000209,Supplier 209,0.13,-45.77,-168.7,LATAM,4,962576,2026-01-06
SUP-000210,Supplier 210,0.51,-47.6,124.58,LATAM,2,3048259,2025-09-10
SUP-000211,Supplier 211,0.69,-14.28,-168.36,EMEA,3,4916726,2025-07-20
SUP-000212,Supplier 212,0.58,31.17,89.99,LATAM,1,3229658,2024-01-11
SUP-000213,Supplier 213,0.21,42.78,-42.48,NA,2,359627,2025-09-26
SUP-000214,Supplier 214,0.8,16.73,35.53,APAC,2,3492536,2026-07-03
SUP-000215,Supplier 215,0.71,-40.96,-90.84,LATAM,4,176671,2026-05-21
SUP-000216,Supplier 216,0.73,37.23,-124.06,NA,4,525736,2025-01-08
SUP-000217,Supplier 217,0.14,-13.88,12.02,NA,4,1430056,2025-07-20
SUP-000218,Supplier 218,0.13,-58.31,70.42,EMEA,4,1531561,
SUP-000219,Supplier 219,0.92,-23.52,-109.62,EMEA,4,27714,2026-04-18
SUP-000220,Supplier 220,0.4,-17.02,-22.91,NA,4,96565,2026-05-18
SUP-000221,Supplier 221,0.3,-24.35,-19.92,LATAM,3,3948277,2024-07-29
SUP-000222,Supplier 222,0.49,45.54,-102.25,EMEA,1,2278661,2025-04-04
SUP-000223,Supplier 223,0.66,38.79,23.42,APAC,4,1007094,2024-08-11
SUP-000224,Supplier 224,0.95,30.42,-127.46,NA,1,2152856,2025-08-02
SUP-000225,Supplier 225,0.29,-41.93,3.51,LATAM,1,3467753,2024-10-03
SUP-000226,Supplier 226,0.92,45.02,-139.16,NA,4,3674291,2025-10-18
SUP-000227,Supplier 227,0.03,28.03,-5.2,EMEA,1,1447829,2026-07-15
SUP-000228,Supplier 228,0.55,-34.67,-67.82,NA,1,843913,2026-04-02
SUP-000229,Supplier 229,0.63,24.25,-17.19,APAC,3,4797126,2024-06-21
SUP-000230,Supplier 230,0.11,2.86,-23.85,NA,3,3161157,2024-05-02
SUP-000231,Supplier 231,0.15,-2.88,146.86,NA,1,4914944,2026-02-08
SUP-000232,Supplier 232,0.42,-45.42,-3.62,EMEA,2,1540404,2024-03-18
SUP-000233,Supplier 233,0.96,7.38,114.66,APAC,1,565216,2025-01-12
SUP-000234,Supplier 234,0.59,-47.01,-98.77,APAC,2,1915763,
SUP-000235,Supplier 235,0.92,-38.65,-53.25,APAC,1,1645964,2025-02-27
SUP-000236,Supplier 236,0.8,-42.77,-152.97,LATAM,3,3599241,2024-01-09
SUP-000237,Supplier 237,0.47,64.03,-28.53,EMEA,2,3583467,2026-07-09
SUP-000238,Supplier 238,0.78,-22.97,60.73,LATAM,4,367024,2025-10-30
SUP-000239,Supplier 239,0.03,-13.82,121.74,EMEA,1,2942840,2024-11-08
SUP-000240,Supplier 240,0.12,-18.13,23.73,EMEA,4,1720486,2025-07-30
SUP-000241,Supplier 241,0.82,56.77,50.43,LATAM,4,3078283,2025-07-31
SUP-000242,Supplier 242,0.79,13.19,-116.18,LATAM,2,1962702,2025-06-05
SUP-000243,Supplier 243,0.24,59.49,-166.61,APAC,3,2691739,2026-06-26
SUP-000244,Supplier 244,0.53,-21.01,105.01,EMEA,2,3581589,2026-01-11
SUP-000245,Supplier 245,0.6,-45.07,-119.87,EMEA,3,1474011,2024-09-01
SUP-000246,Supplier 246,0.86,12.31,-147.18,EMEA,4,1004129,2026-07-25
SUP-000247,Supplier 247,0.6,-15.08,157.52,EMEA,3,3532907,2026-06-27
SUP-000248,Supplier 248,0.41,44.25,166.87,NA,3,4737590,2024-02-14
SUP-000249,Supplier 249,0.38,54.33,41.85,APAC,4,2225585,2024-10-07
SUP-000250,Supplier 250,0.43,1.43,-43.69,EMEA,2,4988832,2025-08-03
SUP-000251,Supplier 251,0.65,66.28,119.97,NA,1,932612,2026-04-09
SUP-000252,Supplier 252,0.86,11.89,-106.3,EMEA,3,4096361,2025-11-07
SUP-000253,Supplier 253,0.45,-24.78,-25.42,LATAM,3,4941145,2025-06-25
SUP-000254,Supplier 254,0.25,3.57,-51.47,NA,1,1505565,2024-10-15
SUP-000255,Supplier 255,0.24,-55.15,148.57,NA,3,747800,2024-04-01
SUP-000256,Supplier 256,0.74,44.52,151.12,LATAM,1,3322694,2026-04-22
SUP-000257,Supplier 257,0.81,-46.81,54.32,NA,2,4348276,2025-05-17
SUP-000258,Supplier 258,0.11,-19.86,-140.13,NA,4,424908,2025-03-07
SUP-000259,Supplier 259,0.08,13.49,-6.41,APAC,3,3207205,2026-07-14
SUP-000260,Supplier 260,0.59,-54.41,-91.68,LATAM,3,4357683,2024-06-04
SUP-000261,Supplier 261,0.15,-49.69,138.57,APAC,3,169751,2024-08-27
SUP-000262,Supplier 262,0.82,30.5,-130.17,APAC,1,2584804,2026-03-17
SUP-000263,Supplier 263,0.31,-50.67,-160.45,APAC,4,394153,2024-09-25
SUP-000264,Supplier 264,0.15,2.02,73.59,LATAM,2,890431,2026-06-09
SUP-000265,Supplier 265,0.91,-15.97,-16.82,APAC,4,2436881,
SUP-000266,Supplier 266,0.17,-30.35,121.81,NA,4,1643808,2024-04-03
SUP-000267,Supplier 267,0.29,-35.46,-153.13,APAC,1,434829,2025-03-08
SUP-000268,Supplier 268,0.16,39.24,108.39,LATAM,3,4005706,
SUP-000269,Supplier 269,0.12,63.7,-166.56,APAC,1,1022782,2025-04-07
SUP-000270,Supplier 270,0.03,-41.78,-169.89,APAC,3,4352431,2024-07-21
SUP-000271,Supplier 271,0.06,64.76,-13.93,NA,2,891946,2024-02-12
SUP-000272,Supplier 272,0.18,17.32,-100.34,LATAM,1,2603369,2024-01-07
SUP-000273,Supplier 273,0.06,23.42,33.74,APAC,3,3637905,2024-06-17
SUP-000274,Supplier 274,0.59,32.29,-170.71,NA,4,2406754,2024-09-03
SUP-000275,Supplier 275,0.68,31.54,-167.26,EMEA,1,2091318,2024-10-11
SUP-000276,Supplier 276,0.4,46.58,81.77,LATAM,4,3756166,2026-03-18
SUP-000277,Supplier 277,0.32,2.85,-104.34,EMEA,4,68774,2025-04-25
SUP-000278,Supplier 278,0.5,9.34,56.31,NA,3,4132686,2024-05-13
SUP-000279,Supplier 279,0.87,-17.9,89.97,EMEA,4,3452584,2024-03-19
SUP-000280,Supplier 280,0.84,-46.32,-158.64,APAC,2,3826585,2024-05-03
SUP-000281,Supplier 281,0.05,26.4,97.11,LATAM,3,2110627,2024-10-22
SUP-000282,Supplier 282,0.19,-55.63,-83.37,NA,3,1928295,2025-11-28
SUP-000283,Supplier 283,0.24,-24.17,-39.76,APAC,3,2863876,2024-02-16
SUP-000284,Supplier 284,0.25,-47.75,-148.81,EMEA,4,3213209,2025-01-18
SUP-000285,Supplier 285,0.57,-35.21,121.91,LATAM,4,4626720,2025-02-26
SUP-000286,Supplier 286,0.42,23.04,21.86,APAC,4,4288225,2024-05-20
SUP-000287,Supplier 287,0.06,21.7,1.68,APAC,3,278917,2024-02-25
SUP-000288,Supplier 288,0.38,-5.26,168.68,LATAM,4,767285,2024-08-05
SUP-000289,Supplier 289,0.52,-48.28,-59.58,LATAM,3,4733618,2024-05-23
SUP-000290,Supplier 290,0.11,-3.66,140.68,APAC,3,1946802,2026-01-20
SUP-000291,Supplier 291,0.83,-14.14,79.09,EMEA,1,2905615,2026-05-15
SUP-000292,Supplier 292,0.06,33.66,154.27,LATAM,2,292528,2025-08-11
SUP-000293,Supplier 293,0.92,15.27,146.81,NA,4,532111,2025-12-17
SUP-000294,Supplier 294,0.11,3.9,176.77,APAC,2,2050297,2025-12-19
SUP-000295,Supplier 295,0.84,3.31,-132.6,NA,3,3589450,2026-04-08
SUP-000296,Supplier 296,0.89,65.62,106.57,NA,4,3863687,2024-04-02
SUP-000297,Supplier 297,0.97,38.32,109.62,APAC,2,4474476,2026-07-30
SUP-000298,Supplier 298,0.8,4.61,51.97,NA,2,993171,2025-03-08
SUP-000299,Supplier 299,0.77,2.3,-79.61,APAC,1,1017170,2025-05-27
SUP-000300,Supplier 300,0.64,-56.56,167.45,APAC,1,2714016,2026-01-22
SUP-000301,Supplier 301,0.77,62.53,-106.41,APAC,3,2739139,2025-04-11
SUP-000302,Supplier 302,0.14,-18.51,-0.15,NA,3,192562,2024-09-07
SUP-000303,Supplier 303,0.54,-26.73,7.74,NA,2,2241405,2024-01-18
SUP-000304,Supplier 304,0.51,69.92,-121.74,NA,2,4489273,2024-06-08
SUP-000305,Supplier 305,0.85,33.43,80.11,LATAM,1,827844,2024-03-20
SUP-000306,Supplier 306,0.46,-53.84,-148.01,LATAM,4,4101823,2024-12-26
SUP-000307,Supplier 307,0.39,-51.95,69.52,APAC,3,2241729,2026-01-05
SUP-000308,Supplier 308,0.64,-56.68,125.5,EMEA,1,2626801,2024-11-10
SUP-000309,Supplier 309,0.27,17.95,-54.22,LATAM,3,3211625,2025-07-17
SUP-000310,Supplier 310,0.15,-50.7,75.39,NA,2,3531877,2024-06-24
SUP-000311,Supplier 311,0.48,61.34,-123.56,APAC,4,3191092,2025-07-11
SUP-000312,Supplier 312,0.42,61.8,124.54,EMEA,2,528541,2026-06-19
SUP-000313,Supplier 313,0.24,10.99,162.73,LATAM,4,1483727,2024-10-24
SUP-000314,Supplier 314,0.37,20.16,-125.03,NA,3,4227595,2025-04-01
SUP-000315,Supplier 315,0.37,-22.05,69.07,APAC,1,210329,2026-06-28
SUP-000316,Supplier 316,0.33,-51.68,2.1,APAC,4,3579155,2025-07-28
SUP-000317,Supplier 317,0.38,35.87,11.34,NA,3,2607187,2025-01-11
